state,year_one,year_two
alabama,7967873,7967873
alaska,2000000,2000000
arizona,12171518,12171518
arkansas,3901295,3901295
california,44749771,44749771
colorado,7869651,7869651
connecticut,5500157,5500157
delaware,2000000,2000000
dc,2000000,2000000
florida,27150403,27150403
georgia,11782710,11782710
hawaii,2000000,2000000
idaho,2000000,2000000
illinois,16328583,16328583
indiana,10925992,10925992
iowa,2728077,2728077
kansas,3114402,3114402
kentucky,10528093,10528093
louisiana,8167971,8167971
maine,2039029,2039029
maryland,10036843,10036843
massachusetts,11742924,11742924
michigan,16372680,16372680
minnesota,5379349,5379349
mississippi,3584702,3584702
missouri,10015898,10015898
montana,2000000,2000000
nebraska,2000000,2000000
nevada,5663328,5663328
new hampshire,3128366,3128366
new jersey,12995621,12995621
new mexico,4792551,4792551
new york,25260676,25260676
north carolina,15586724,15586724
north dakota,2000000,2000000
ohio,26060502,26060502
oklahoma,7283229,7283229
oregon,6564425,6564425
pennsylvania,26507559,26507559
rhode island,2167007,2167007
south carolina,6575623,6575623
south dakota,1999997,1999997
tennessee,13815132,13815132
texas,27362357,27362357
utah,5537458,5537458
vermont,2000000,2000000
virginia,9762332,9762332
washington,11790256,11790256
west virginia,5881983,5881983
wisconsin,7636938,7636938
wyoming,2000000,2000000
